driver_gender,driver_sobriety_condition,driver_age,driver_aggressive_driving,vehicle_type,vehicle_year,vehicle_maneuver,road_alignment,road_surface_condition,crash_location,crash_type,traffic_control,season,day_of_week,crash_time,light_condition,weather_condition,area type,INJURY_SEVERITY
Female,Sober,51-60,N,SUV,<5 Years,Straight,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Rain,Rural,not_serious
Male,Sober,26-30,N,Car,>10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekend,Day Off-Peak,Daylight,Clear,Rural,not_serious
Male,Sober,41-50,N,Heavy Vehicle,>10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekend,Day Off-Peak,Daylight,Clear,Rural,not_serious
Male,Not Sober,60+,N,Car,>10 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Spring,weekend,Morning Peak,Daylight,Clear,Rural,serious
Female,Sober,31-40,N,Car,>10 Years,Lane Changing,Curve,Wet,Not Intersection,Other,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Rain,Rural,not_serious
Female,Sober,51-60,Y,Pickup,>10 Years,Other,Straight,Wet,Intersection,Other,Uncontrolled,Autumn,weekday,Day Off-Peak,Daylight,Rain,Rural,not_serious
Female,Sober,31-40,N,Car,5-10 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Winter,weekend,Day Off-Peak,Daylight,Clear,Rural,not_serious
Male,Sober,31-40,N,Car,<5 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Spring,weekday,Morning Off-Peak,Dark-Not Lighted,Cloudy,Rural,not_serious
Male,Sober,26-30,N,SUV,<5 Years,Stopped,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Winter,weekend,Afternoon Peak,Daylight,Rain,Rural,not_serious
Female,Sober,21-25,N,Car,<5 Years,Stopped,Straight,Wet,Not Intersection,Rear End,Uncontrolled,Winter,weekend,Afternoon Peak,Daylight,Rain,Rural,not_serious
Male,Sober,51-60,N,Van,<5 Years,Slowing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Autumn,weekday,Morning Peak,Daylight,Clear,Rural,not_serious
